date,country,mportret,mportretx
20080131,AUSTRIA,-0.11786995,-0.118303209
20080229,AUSTRIA,0.0160149188,0.0160149188
20080331,AUSTRIA,-0.025948245,-0.026553148
20080430,AUSTRIA,0.0942576203,0.0920318471
20080530,AUSTRIA,0.0356717771,0.0254700242
20080630,AUSTRIA,-0.092033084,-0.093918684
20080731,AUSTRIA,-0.066606287,-0.070066627
20080829,AUSTRIA,-0.017503657,-0.017503657
20080930,AUSTRIA,-0.2499203,-0.250458465
20081031,AUSTRIA,-0.287392797,-0.287392797
20081128,AUSTRIA,-0.100011179,-0.100011179
20081230,AUSTRIA,-0.019254013,-0.019254013
20090130,AUSTRIA,0.0096206983,0.0082860422
20090227,AUSTRIA,-0.134143428,-0.134143428
20090331,AUSTRIA,0.1435744315,0.1418517794
20090430,AUSTRIA,0.122429166,0.1166326801
20090529,AUSTRIA,0.1274687658,0.1042627338
20090630,AUSTRIA,-0.007843167,-0.014768209
20090731,AUSTRIA,0.0597647836,0.0556245907
20090831,AUSTRIA,0.1401560774,0.1390497366
20090930,AUSTRIA,0.0539749297,0.0539749297
20091030,AUSTRIA,-0.054833459,-0.05687085
20091130,AUSTRIA,-0.00179728,-0.00179728
20091230,AUSTRIA,0.0054571607,0.0054571607
20100129,AUSTRIA,-0.013579744,-0.014368942
20100226,AUSTRIA,-0.018718879,-0.018718879
20100331,AUSTRIA,0.071330263,0.0706026792
20100430,AUSTRIA,0.0331215619,0.0304609953
20100531,AUSTRIA,-0.070609342,-0.081629127
20100630,AUSTRIA,-0.032451257,-0.038697736
20100730,AUSTRIA,0.0840975731,0.0794388692
20100831,AUSTRIA,-0.026204352,-0.026204352
20100930,AUSTRIA,0.0526932239,0.0525630769
20101029,AUSTRIA,0.0472694909,0.0472694909
20101130,AUSTRIA,-0.021860396,-0.021860396
20101230,AUSTRIA,0.1261102825,0.1261102825
20110131,AUSTRIA,-0.001341754,-0.002108182
20110228,AUSTRIA,0.0056609592,0.0056609592
20110331,AUSTRIA,0.0003427837,-0.001119403
20110429,AUSTRIA,-0.014047459,-0.015383223
20110531,AUSTRIA,0.0087369108,-0.00684028
20110630,AUSTRIA,-0.013642801,-0.017132538
20110729,AUSTRIA,-0.046248454,-0.048914438
20110831,AUSTRIA,-0.099326698,-0.099479465
20110930,AUSTRIA,-0.128758834,-0.13016764
20111031,AUSTRIA,0.009228039,0.009228039
20111130,AUSTRIA,-0.065313493,-0.065313493
20111229,AUSTRIA,0.0208150558,0.0208150558
20120131,AUSTRIA,0.0895799155,0.0883808129
20120229,AUSTRIA,0.0522495926,0.0522495926
20120330,AUSTRIA,-0.007458856,-0.009218982
20120430,AUSTRIA,-0.017741197,-0.021237811
20120531,AUSTRIA,-0.076878812,-0.090306621
20120629,AUSTRIA,0.0366420453,0.0318320164
20120731,AUSTRIA,0.0102800408,0.0065225264
20120831,AUSTRIA,0.0095497508,0.0093746952
20120928,AUSTRIA,0.0253616809,0.0253616809
20121031,AUSTRIA,0.0382734357,0.0358738764
20121130,AUSTRIA,0.0403093114,0.0403093114
20121228,AUSTRIA,0.0401251811,0.0401251811
20130131,AUSTRIA,0.0230143202,0.0220401631
20130228,AUSTRIA,-0.001132849,-0.001132849
20130328,AUSTRIA,-0.033688113,-0.035407134
20130430,AUSTRIA,0.0226351188,0.0195746267
20130531,AUSTRIA,0.0143353292,0.0016344534
20130628,AUSTRIA,-0.071087881,-0.072409198
20130731,AUSTRIA,0.0401394424,0.0331492549
20130830,AUSTRIA,0.0341660443,0.0341660443
20130930,AUSTRIA,0.03430035,0.0342303786
20131031,AUSTRIA,0.0308733819,0.0287131304
20131129,AUSTRIA,0.0149954268,0.0149954268
