Name;Symbol;RIC;Start Date;End Date;Hist.;End Date;Category;Market;Source;Frequency;Adjustment;Dataset;Forecast;End Year;Full Name;Activity
MALAWI STOCK EXCHANGE: ALL SHARE INDEX;MISHRPRCF;aMWSHRPRCF/C;8/1/2008;6/30/2020;2008;Jun 2020;Economics;Malawi;Reserve Bank of Malawi;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Malawi, Malawi Stock Exchange, All Share Index, 1999 = 100;Active
BRVM 10 INDEX;MLSHRPRCF;aMLSHRPRCF;9/1/1998;8/31/2020;1998;Aug 2020;Economics;Mali;Bourse Regionale des Valeurs Mobilieres;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Mali, BRVM, Top Ten Index;Active
MAURITIUS SE SEMDEX INDEX;MUSHRPRCF;aMUSHRPRCF/C;7/1/1989;8/31/2020;1989;Aug 2020;Economics;Mauritius;Stock Exchange of Mauritius;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Mauritius, SE of Mauritius, Semdex Index, 1989JUL5 = 100;Active
SHARE PRICE INDEX OR IPC;MXSHRPRCF;aMXSHRPRCF;1/1/1981;8/31/2020;1981;Aug 2020;Economics;Mexico;Bolsa Mexicana de Valores;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Mexico, Mxse, Indice de Precios de Consumo General Index, End of Period;Active
FTSE BURSA MALAYSIA KLCI - PRICE CLOSE (EP);MYSHRPRCF;aMYSHRPRCF;1/1/1980;8/31/2020;1980;Aug 2020;Economics;Malaysia;Bursa Malaysia;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Malaysia, Financial Times Stock Exchange Bursa Malaysia KLCI, End of Period, 1977JAN1 = 100;Active
NIGERIAN S.E. - 30 STOCK PRICE INDEX (EP);NGSHRPRCF;aNGSHRPRCF;12/1/2009;8/31/2020;2009;Aug 2020;Economics;Nigeria;Nigeria Stock Exchange;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Nigeria, Nigeria SE, Nigerian Stock Exchange, NSE 30 Index, Index;Active
AMSTERDAM SE ALL SHARE STOCK PRICE INDEX (EP);NLSHRPRCF;aNLSHRPRCF/C;12/1/1964;8/31/2020;1964;Aug 2020;Economics;Netherlands;Euronext Amsterdam N.V.;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Netherlands, Amsterdam SE All Share Stock Price Index (EP), Index, 1983JAN3 = 45.58;Active
BRVM 10 INDEX;NRSHRPRCF;aNESHRPRCF;9/1/1998;8/31/2020;1998;Aug 2020;Economics;Niger;Bourse Regionale des Valeurs Mobilieres;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Niger, BRVM, Top Ten Index;Active
OSLO STOCK EXCHANGE BENCHMARK INDEX;NWSHRPRCF;aNOSHRPRCF/C;12/1/1995;7/31/2020;1995;Jul 2020;Economics;Norway;Oslo Bors;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Norway, Oslo Stock Exchange Benchmark Index, Index, 1995DEC31 = 100;Active
S&P NEW ZEALAND STOCK EXCHANGE ALL SHARE PRICE INDEX (EP);NZSHRPRCF;aNZSHRPRCF;6/1/1986;8/31/2020;1986;Aug 2020;Economics;New Zealand;S&P/New Zealand Stock Exchange;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;New Zealand, Standard and Poor's / NZX All Capital Index, Index, 1986JUL1 = 1000;Active
STOCK MARKET COMPOSITE INDEX - TOTAL;PHSHRPRCF;aPHSHRPRCF;1/1/2005;6/30/2020;2005;Jun 2020;Economics;Philippines;Bangko Sentral ng Pilipinas;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Philippines, Stock Market Composite Index - Total, Index;Active
WARSAW GENERAL SHARE PRICE INDEX (EP);POSHRPRCF;aPLSHRPRCF;4/1/1991;8/31/2020;1991;Aug 2020;Economics;Poland;Warsaw Stock Exchange;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Poland, Warsaw General Share Price Index (EP), Index, 1991APR16 = 1000;Active
PSI GENERAL STOCK PRICE INDEX (EP);PTSHRPRCF;aPTSHRPRCF;1/1/1988;8/31/2020;1988;Aug 2020;Economics;Portugal;Euronext Lisbon;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Portugal, Lisbon SE, PSI General Index, End of Period, 1988JAN5 = 1000;Active
BET INDEX;RMSHRPRCF;aROSHRPRCF;9/1/1997;7/31/2020;1997;Jul 2020;Economics;Romania;Bucharest Stock Exchange;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Romania, Bet Index, Index, 1997SEP19 = 1000;Active
MOEX SHARE PRICE INDEX;RSSHRPRCF;aRUSHRPRCF;9/1/1997;8/31/2020;1997;Aug 2020;Economics;Russia;Moscow Exchange;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Russia, Micex, Composite Index, End of Period, 1997SEP22 = 100;Active
RSE SHARE INDEX (EP);RWSHRPRCF;aRWSHRPRCF;2/1/2013;8/31/2020;2013;Aug 2020;Economics;Rwanda;Refinitiv;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Rwanda, RSE Share Index, End of Period;Active
DATASTREAM TOTAL MARKET STOCK PRICE INDEX (MONTHLY AVERAGE) (DISC.);SASHRPRCF;-;1/1/1973;9/30/2019;1973;Sep 2019;Economics;South Africa;Datastream;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2019;South Africa, Discontinued, Datastream Total Market Stock Price Index (Monthly Average), Index, 1973JAN1 = 100;Dead
BRVM 10 INDEX;SGSHRPRCF;aSNSHRPRCF;9/1/1998;8/31/2020;1998;Aug 2020;Economics;Senegal;Bourse Regionale des Valeurs Mobilieres;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Senegal, BRVM, Top Ten Index;Active
STOCK PRICE INDEX (DISC.);SISHRPRCF;aSASHRPRCF;1/1/1998;9/30/2018;1998;Sep 2018;Economics;Saudi Arabia;SAMA - Saudi Arabian Monetary Agency;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2018;Saudi Arabia, Discontinued, Stock Price Index, Index, 1999 = 1000;Dead
